budget,cwe,tasks_x_seeds,main_asr,baseline,baseline_asr,absolute_gain_pp
4,CWE-95,10,0.5000,classical_active_comment,0.0000,+50.00
8,CWE-119,15,0.6667,classical_active_comment,0.6667,+0.00
8,CWE-120,20,0.5000,classical_active_comment,0.5000,+0.00
8,CWE-121,15,0.3333,classical_active_comment,0.3333,+0.00
8,CWE-1240,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-185,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-200,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-208,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-209,5,1.0000,classical_active_comment,1.0000,+0.00
8,CWE-22,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-242,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-276,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-290,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-295,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-306,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-312,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-319,5,1.0000,classical_active_comment,1.0000,+0.00
8,CWE-323,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-327,20,0.2500,classical_active_comment,0.2500,+0.00
8,CWE-328,30,0.3333,classical_active_comment,0.1333,+20.00
8,CWE-330,15,0.3333,classical_active_comment,0.2667,+6.67
8,CWE-335,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-338,40,0.3750,classical_active_comment,0.3250,+5.00
8,CWE-345,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-347,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-352,15,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-377,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-416,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-502,30,0.3333,classical_active_comment,0.3333,+0.00
8,CWE-521,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-554,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-589,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-590,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-601,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-611,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-643,10,0.5000,classical_active_comment,0.5000,+0.00
8,CWE-665,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-676,20,0.2500,classical_active_comment,0.2500,+0.00
8,CWE-680,20,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-759,5,1.0000,classical_active_comment,1.0000,+0.00
8,CWE-770,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-78,40,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-79,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-798,40,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-807,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-862,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-89,25,0.2400,classical_active_comment,0.2000,+4.00
8,CWE-908,5,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-918,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-94,10,0.0000,classical_active_comment,0.0000,+0.00
8,CWE-95,10,0.5000,classical_active_comment,0.2000,+30.00
